State of Charge (Start %),State of Charge (End %),Temperature (°C),Energy Consumed (kWh),Charging Rate (kW),Charging Duration (hours),Charging End Time,heure_connexion,heure_liberation,weekday,is_weekend,is_night,h_sin,h_cos,carbon_gco2,carbon_score,co2_total_g,user_lat,user_lon,zone_tarifaire,zone_norm
29.371575979140047,86.11996244457839,27.947953055800944,60.71234573492677,36.3891805669814,0.5913634253585007,2024-01-01 00:39:00,0,0,0,0,1,0.0,1.0,130,0.941,7892.60494554048,36.85942157037903,10.171751951250386,1,0.5
10.115777641679946,84.66434362786444,14.311025660377789,12.339275203733752,30.67773493971444,3.133652052688084,2024-01-01 03:01:00,23,3,0,0,1,-0.25881904510252157,0.9659258262890681,160,0.853,1974.2840325974003,36.81850471625101,10.160160809207715,1,0.5
6.854604444398554,69.91761524016282,21.00200183614421,19.12887570011548,27.51359255877324,2.4526527258367823,2024-01-01 04:48:00,2,4,0,0,1,0.49999999999999994,0.8660254037844387,115,0.985,2199.8207055132802,36.83586213952317,10.169855374225532,1,0.5
83.12000296074223,99.62432763119423,38.31631316036344,79.45782398845503,32.882869757386224,1.266430804620451,2024-01-01 06:42:00,5,6,0,0,1,0.9659258262890683,0.25881904510252074,130,0.941,10329.517118499154,36.87372679597604,10.179702159919866,1,0.5
54.25894969116981,63.743786036169695,-7.834199027249213,19.62910416772725,10.215712071204608,2.0197650865894614,2024-01-01 05:46:00,3,5,0,0,1,0.7071067811865475,0.7071067811865476,110,1.0,2159.2014584499975,36.8625267397045,10.15750259130578,1,0.5
60.75178075976676,70.79609690147149,27.5513346806664,36.862139988267536,26.18518786003352,3.5396190263161467,2024-01-01 07:53:00,4,7,0,0,1,0.8660254037844386,0.5000000000000001,115,0.985,4239.146098650766,36.835002652525766,10.220760062570566,1,0.5
56.201703032995454,63.786815331776616,-4.41745966595273,51.46761685839947,26.7029077655282,2.6553964456130235,2024-01-01 10:42:00,8,10,0,0,0,0.8660254037844387,-0.4999999999999998,310,0.412,15954.961226103835,36.80195928375107,10.180726043252365,2,1.0
33.46620026326066,92.96142090358896,22.51670642679634,43.59237228216989,14.294922926661108,1.724203599132774,2024-01-01 09:21:00,7,9,0,0,0,0.9659258262890683,-0.25881904510252063,280,0.5,12205.86423900757,36.803403434446196,10.215857865190577,1,0.5
27.399454625609152,70.05338137780706,27.512019364625917,78.86860745126785,11.76099971515701,2.0268746909843576,2024-01-01 12:44:00,10,12,0,0,0,0.49999999999999994,-0.8660254037844387,260,0.559,20505.83793732964,36.81881795505815,10.191894833260202,2,1.0
76.08656557040186,82.2655816267944,0.5004335643954789,18.20619747737872,10.310701112892176,2.6486354477276968,2024-01-01 13:59:00,11,13,0,0,0,0.258819045102521,-0.9659258262890682,230,0.647,4187.425419797106,36.81082130713482,10.204724818294565,1,0.5
